title,lead,byline,link
"Leaving GOP, Hendren says, cites D.C. riot","Sen. Jim Hendren of Sulphur Springs announced Thursday that he is leaving the Republican Party to be an independent, saying the ""final straw"" was the Jan. 6 rio...","by
Michael R. Wickline -
February 19, 2021",https://arkansasonline.com/news/2021/feb/19/leaving-gop-hendren-says-cites-dc-riot/?news-arkansas
Hospitals' covid-19 patients rise to 625,Arkansas' count of coronavirus cases rose by just 253 on Thursday as snowstorms that hit the state this week continued to hamper covid-19 testing and vaccinatio...,"by
Andy Davis -
February 19, 2021",https://arkansasonline.com/news/2021/feb/19/hospitals-covid-19-patients-rise-to-625/?news-arkansas
Fayetteville City Council sends short-term rentals regulation back for committee review,A proposal to regulate short-term rentals operating in the city was passed for the second time to a review committee and tabled for a month.,"by
Stacy Ryburn -
February 19, 2021",https://arkansasonline.com/news/2021/feb/19/fayetteville-city-council-sends-short-term/?news-arkansas
Fort Smith man arrested after hitting man riding inner tube,A man was arrested Wednesday in connection with a hit-and-run accident that left another man severely injured.,"by
NWA Democrat-Gazette -
February 19, 2021",https://arkansasonline.com/news/2021/feb/19/man-arrested-after-hitting-man-riding-inner-tube/?news-arkansas
"Carr, West Siloam Springs mayor, to retire",Mayor Elaine Carr announced she has decided not to seek reelection for the position of Ward Four trustee and mayor of the town.,"by
Marc Hayot -
February 19, 2021",https://arkansasonline.com/news/2021/feb/19/carr-west-siloam-springs-mayor-to-retire/?news-arkansas
Third suspect arrested in connection with Fort Smith armed robbery,A third man was arrested Wednesday in connection with an armed robbery.,"by
NWA Democrat-Gazette -
February 19, 2021",https://arkansasonline.com/news/2021/feb/19/third-suspect-arrested-in-connection-with-fort/?news-arkansas
Springdale council considers property to enhance parks,The City Council members gave their OK on Thursday to buying two pieces of property to enhance two of its emerging parks.,"by
Laurinda Joenks -
February 19, 2021",https://arkansasonline.com/news/2021/feb/19/springdale-council-considers-property-to-enhance/?news-arkansas
Northwest Arkansas arrest roundup,A roundup of recent arrests in Northwest Arkansas.,"by
NWA Democrat-Gazette -
February 19, 2021",https://arkansasonline.com/news/2021/feb/19/northwest-arkansas-arrest-roundup/?news-arkansas
Walmart ends ’20 with $2B loss in 4Q,Walmart Inc. said Thursday that its fourth-quarter profit and per-share earnings fell 150% despite record growth in revenue. The company attributed the loss lar...,"by
Serenah McKay -
February 19, 2021",https://arkansasonline.com/news/2021/feb/19/walmart-ends-20-2b-loss-4q/?business
State's livestock farmers facing icy adversity; keeping animals alive is only goal,"Calving season started Monday for cattle farmer Tem Dotson, right as a historic winter storm pressed across Arkansas, giving his calves little to no chance for ...","by
Teresa Moss -
February 19, 2021",https://arkansasonline.com/news/2021/feb/19/livestock-farmers-facing-icy-adversity/?business
GameStop trade restriction defended,"Key players in the GameStop saga faced questions Thursday from House lawmakers concerned that, even as investing becomes more democratized, the scales are still...","by
DEMOCRAT-GAZETTE STAFF AND WIRE REPORTS -
February 19, 2021",https://arkansasonline.com/news/2021/feb/19/gamestop-trade-restriction-defended/?business
Texas freeze hits global oil market,"Because of disruptions caused by the winter storm, what began as a power crisis for a handful of U.S. states is sending a ripple through the world's oil market....","by
ALEX LONGLEY BLOOMBERG NEWS (WPNS) -
February 19, 2021",https://arkansasonline.com/news/2021/feb/19/texas-freeze-hits-global-oil-market/?business
"Jobless claims hit 861,000, up 13,000","The number of Americans applying for unemployment aid rose last week to 861,000, evidence that layoffs remain painfully high despite a steady drop in the number...","by
CHRISTOPHER RUGABER THE ASSOCIATED PRESS -
February 19, 2021",https://arkansasonline.com/news/2021/feb/19/jobless-claims-hit-861000-up-13000/?business
H&R Block to offer aid to Black firms,Tax preparation company H&R Block will offer free coaching to businesses owned by Black people across the country through a new program.,"by
KEVIN HARDY THE KANSAS CITY STAR (TNS) -
February 19, 2021",https://arkansasonline.com/news/2021/feb/19/h38r-block-to-offer-aid-to-black-firms/?business
January home building falls 6%,"U.S. home construction fell 6% in January, but applications for building permits, which typically signal activity ahead, rose sharply.","by
MARTIN CRUTSINGER AND MATT OTT THE ASSOCIATED PRESS -
February 19, 2021",https://arkansasonline.com/news/2021/feb/19/january-home-building-falls-6/?business
Airbus puts its '20 loss at $1.3B; sees better '21,"European plane-maker Airbus lost $1.3 billion last year during an unprecedented global slump in air travel because of the pandemic, but expects to deliver hundr...","by
ANGELA CHARLTON THE ASSOCIATED PRESS -
February 19, 2021",https://arkansasonline.com/news/2021/feb/19/airbus-puts-its-20-loss-at-13b-sees-better-21/?business
"Bond bumps, jobless rise keep investors sidelined","Stocks posted modest losses on Thursday as investors had little reason to buy stocks with discouraging economic data and a steady rise in bond yields, which has...","by
KEN SWEET THE ASSOCIATED PRESS -
February 19, 2021",https://arkansasonline.com/news/2021/feb/19/bond-bumps-jobless-rise-keep-investors-sidelined/?business
"Millions of jobs won't return, economists warn","Millions of jobs that have been cut back or wiped out entirely by the coronavirus pandemic are unlikely to come back, economists warn, setting up a huge need fo...","by
HEATHER LONG THE WASHINGTON POST -
February 19, 2021",https://arkansasonline.com/news/2021/feb/19/millions-of-jobs-wont-return-economists-warn/?business
Faux-meat firm bests Nestle for trademark,"The owners of the Herbivorous Butcher in Minneapolis have won a trademark battle against multinational food giant Nestle over use of the phrase ""vegan butcher,""...","by
JACKIE CROSBY STAR TRIBUNE (TNS) -
February 19, 2021",https://arkansasonline.com/news/2021/feb/19/faux-meat-firm-bests-nestle-for-trademark/?business
